timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2024-03-05 18:31:17.783904,226,0.01837806239298551,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.792632,654,0.9562707967144484,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.800018,177,0.9681065407671792,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.801644,645,0.9690440215808204,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.802064,228,0.8647616457107525,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.815963,229,0.9567338545275836,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.816356,178,0.9632750328819559,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.816460,230,0.9597378179650944,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.816544,179,0.9698005930985216,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.816611,179,0.9603189921223192,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.816671,181,0.9745231773876856,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.937838,655,0.9557831825421093,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.963663,313,0.972163057550156,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.963687,314,0.9735449201491779,0,-0.11,-0.22,-0.11
2024-03-05 18:31:17.963689,314,0.9639912698537336,0,-0.11,-0.22,-0.11
2024-03-05 18:31:18.135853,655,0.9469204825944711,0,-0.11,-0.22,-0.11
2024-03-05 18:31:18.146668,656,0.9529768631958304,0,-0.11,-0.22,-0.11
2024-03-05 18:31:18.189104,130,0.9712697462996464,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.494292,657,0.9625796878169804,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.502447,657,0.9531993633092756,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.507994,657,0.9439128420466478,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.508162,657,0.9347191859966464,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.508312,657,0.9256174665071448,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.508448,657,0.9166067642125384,0,-0.11,-0.22,-0.11
2024-03-05 18:31:20.508607,657,0.9076861689408776,0,-0.11,-0.22,-0.11
2024-03-05 18:31:21.680880,658,0.9308809340269674,0,-0.11,-0.22,-0.11
2024-03-05 18:31:22.955676,660,0.9638708020213772,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.110969,659,0.9442948461871078,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.482314,185,0.971586808684078,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.482578,185,0.9620713754701358,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.535652,676,0.9709961455207649,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.598943,186,0.9551700987548232,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.623659,660,0.9498235004407491,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.672392,187,0.9558731774493504,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.710587,323,0.9711292713434144,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.748463,215,0.9774571950892476,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.750299,131,0.9609906622132076,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.759188,259,0.9664729081671964,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.763395,206,0.9758433726507222,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.873057,132,0.9633859842024252,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.873241,207,0.9752389937972984,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.938505,260,0.961313349741384,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.940877,662,0.969147245101461,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.941035,265,0.9639495490739453,0,-0.11,-0.22,-0.11
2024-03-05 18:31:23.958548,661,0.9540082922760932,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.092373,297,0.9784425074147568,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.092874,298,0.971290931742264,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.098195,299,0.9675281524255184,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.208858,300,0.9668672747746532,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.215928,301,0.9633086049500186,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.217316,302,0.9625102941629952,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.218278,661,0.9465980260568496,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.218426,663,0.9636853986831992,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.218642,664,0.9645777666944566,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.369599,665,0.96258122878938,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.500284,666,0.9596466322488141,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.501257,261,0.9640382961023966,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.501551,245,0.9777338287167158,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.501948,245,0.9680923263704908,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.505083,667,0.9602647719425836,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.507801,668,0.9630808765929684,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.516223,661,0.9387102073503052,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.516583,669,0.9651946773496276,0,-0.11,-0.22,-0.11
2024-03-05 18:31:24.933544,665,0.9478062749193245,0,-0.11,-0.22,-0.11
2024-03-05 18:31:25.032536,670,0.9649341625747758,0,-0.11,-0.22,-0.11
2024-03-05 18:31:25.033685,671,0.965831453644324,0,-0.11,-0.22,-0.11
2024-03-05 18:31:25.099018,672,0.965483461404266,0,-0.11,-0.22,-0.11
