timestamp,value
2023-09-19 09:19:31,278
2023-09-19 09:19:31,176
2023-09-19 09:20:53,204
2023-09-19 09:20:53,172
2023-09-19 09:20:53,203
2023-09-19 09:20:53,427
2023-09-19 09:20:53,197
2023-09-19 09:20:53,205
2023-09-19 09:20:53,428
2023-09-19 09:20:54,143
2023-09-19 09:20:54,428
2023-09-19 09:20:54,430
2023-09-19 09:20:54,429
2023-09-19 09:20:54,143
2023-09-19 09:20:54,144
2023-09-19 09:20:55,143
2023-09-19 09:20:55,205
2023-09-19 09:20:55,204
2023-09-19 09:20:55,203
2023-09-19 09:20:55,197
2023-09-19 09:20:55,198
2023-09-19 09:20:55,144
2023-09-19 09:20:55,143
2023-09-19 09:20:55,143
2023-09-19 09:20:55,172
2023-09-19 09:20:55,143
2023-09-19 09:20:56,143
2023-09-19 09:20:56,143
2023-09-19 09:20:56,341
2023-09-19 09:20:56,144
2023-09-19 09:20:56,199
2023-09-19 09:21:16,172
2023-09-19 09:21:16,203
2023-09-19 09:21:16,427
2023-09-19 09:21:16,204
2023-09-19 09:21:16,428
2023-09-19 09:21:16,205
2023-09-19 09:21:16,197
2023-09-19 09:21:17,430
2023-09-19 09:21:17,143
2023-09-19 09:21:17,143
2023-09-19 09:21:17,172
2023-09-19 09:21:17,143
2023-09-19 09:21:17,143
2023-09-19 09:21:17,144
2023-09-19 09:21:17,143
2023-09-19 09:21:17,143
2023-09-19 09:21:17,429
2023-09-19 09:21:17,428
2023-09-19 09:21:17,203
2023-09-19 09:21:17,144
2023-09-19 09:21:17,197
2023-09-19 09:21:17,204
2023-09-19 09:21:17,200
2023-09-19 09:21:17,205
2023-09-19 09:21:18,143
2023-09-19 09:21:18,199
2023-09-19 09:21:18,341
2023-09-19 09:21:18,144
2023-09-19 09:21:18,143
2023-09-19 09:23:34,205
2023-09-19 09:23:34,427
2023-09-19 09:23:34,428
2023-09-19 09:23:34,197
2023-09-19 09:23:34,204
2023-09-19 09:23:34,203
2023-09-19 09:23:34,172
2023-09-19 09:23:35,143
2023-09-19 09:23:35,430
2023-09-19 09:23:35,143
2023-09-19 09:23:35,145
2023-09-19 09:23:35,200
2023-09-19 09:23:35,429
2023-09-19 09:23:35,143
2023-09-19 09:23:35,143
2023-09-19 09:23:35,144
2023-09-19 09:23:35,428
2023-09-19 09:23:36,200
2023-09-19 09:23:40,146
2023-09-19 09:23:52,199
2023-09-19 09:23:52,143
2023-09-19 09:23:55,172
2023-09-19 09:23:55,428
2023-09-19 09:23:55,205
2023-09-19 09:23:55,204
2023-09-19 09:23:55,203
2023-09-19 09:23:55,197
2023-09-19 09:23:55,427
2023-09-19 09:23:56,430
2023-09-19 09:23:56,201
2023-09-19 09:23:56,143
2023-09-19 09:23:56,428
2023-09-19 09:23:56,143
2023-09-19 09:23:56,144
2023-09-19 09:23:56,145
2023-09-19 09:23:56,143
2023-09-19 09:23:56,143
2023-09-19 09:23:56,429
2023-09-19 09:23:57,201
2023-09-19 09:24:30,146
2023-09-19 09:26:13,143
2023-09-19 09:26:13,199
2023-09-19 09:27:56,210
2023-09-19 09:27:56,209
2023-09-19 09:27:56,211
2023-09-19 09:32:07,203
2023-09-19 09:32:07,172
2023-09-19 09:32:07,197
2023-09-19 09:32:07,204
2023-09-19 09:32:07,427
2023-09-19 09:32:07,205
2023-09-19 09:32:07,428
2023-09-19 09:32:08,429
2023-09-19 09:32:08,428
2023-09-19 09:32:08,430
2023-09-19 09:32:08,144
2023-09-19 09:32:08,343
2023-09-19 09:32:08,197
2023-09-19 09:32:08,143
2023-09-19 09:32:08,143
2023-09-19 09:32:08,144
2023-09-19 09:32:08,143
2023-09-19 09:32:08,143
2023-09-19 09:32:08,143
2023-09-19 09:32:08,143
2023-09-19 09:32:08,205
2023-09-19 09:32:08,172
2023-09-19 09:32:08,204
2023-09-19 09:32:09,144
2023-09-19 09:32:09,143
2023-09-19 09:32:09,342
2023-09-19 09:32:09,342
2023-09-19 09:32:09,199
2023-09-19 09:32:09,341
2023-09-19 09:32:09,143
2023-09-19 09:32:32,428
2023-09-19 09:32:32,205
2023-09-19 09:32:32,427
2023-09-19 09:32:32,197
2023-09-19 09:32:32,204
2023-09-19 09:32:32,203
2023-09-19 09:32:32,172
2023-09-19 09:32:33,430
2023-09-19 09:32:33,343
2023-09-19 09:32:33,197
2023-09-19 09:32:33,143
2023-09-19 09:32:33,143
2023-09-19 09:32:33,144
2023-09-19 09:32:33,143
2023-09-19 09:32:33,143
2023-09-19 09:32:33,144
2023-09-19 09:32:33,143
2023-09-19 09:32:33,143
2023-09-19 09:32:33,428
2023-09-19 09:32:33,204
2023-09-19 09:32:33,205
2023-09-19 09:32:33,429
2023-09-19 09:32:33,172
2023-09-19 09:32:34,342
2023-09-19 09:32:34,143
2023-09-19 09:32:34,144
2023-09-19 09:32:34,341
2023-09-19 09:32:34,342
2023-09-19 09:32:34,143
2023-09-19 09:32:34,199
2023-09-19 09:32:48,428
2023-09-19 09:32:48,197
2023-09-19 09:32:48,172
2023-09-19 09:32:48,427
2023-09-19 09:32:48,203
2023-09-19 09:32:48,204
2023-09-19 09:32:48,205
2023-09-19 09:32:49,430
2023-09-19 09:32:49,428
2023-09-19 09:32:49,429
2023-09-19 09:32:49,205
2023-09-19 09:32:49,204
2023-09-19 09:32:49,203
2023-09-19 09:32:49,143
2023-09-19 09:32:49,143
2023-09-19 09:32:49,144
2023-09-19 09:32:49,172
2023-09-19 09:32:50,143
2023-09-19 09:32:50,143
2023-09-19 09:32:50,144
2023-09-19 09:32:50,143
2023-09-19 09:32:50,143
2023-09-19 09:32:50,143
2023-09-19 09:32:50,197
2023-09-19 09:32:50,143
2023-09-19 09:32:50,342
2023-09-19 09:32:50,342
2023-09-19 09:32:50,199
2023-09-19 09:32:50,341
2023-09-19 09:32:50,343
2023-09-19 09:32:50,144
2023-09-19 09:34:02,205
2023-09-19 09:34:02,197
2023-09-19 09:34:02,172
2023-09-19 09:34:02,427
2023-09-19 09:34:02,203
2023-09-19 09:34:02,204
2023-09-19 09:34:02,428
2023-09-19 09:34:03,430
2023-09-19 09:34:03,143
2023-09-19 09:34:03,143
2023-09-19 09:34:03,144
2023-09-19 09:34:03,143
2023-09-19 09:34:03,143
2023-09-19 09:34:03,143
2023-09-19 09:34:03,143
2023-09-19 09:34:03,143
2023-09-19 09:34:03,172
2023-09-19 09:34:03,204
2023-09-19 09:34:03,205
2023-09-19 09:34:03,144
2023-09-19 09:34:03,203
2023-09-19 09:34:03,429
2023-09-19 09:34:03,197
2023-09-19 09:34:03,343
2023-09-19 09:34:03,341
2023-09-19 09:34:03,199
2023-09-19 09:34:03,342
2023-09-19 09:34:03,342
2023-09-19 09:34:03,428
2023-09-19 09:34:03,143
2023-09-19 09:34:03,144
2023-09-19 09:37:47,342
2023-09-19 09:37:48,341
2023-09-19 09:37:48,342
2023-09-19 09:37:48,428
2023-09-19 09:37:48,342
2023-09-19 09:37:48,342
2023-09-19 09:37:48,342
2023-09-19 09:37:48,342
2023-09-19 09:37:48,428
2023-09-19 09:37:48,428
2023-09-19 09:37:48,194
2023-09-19 09:37:48,341
2023-09-19 09:37:48,428
2023-09-19 09:37:48,194
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,172
2023-09-19 09:37:48,428
2023-09-19 09:37:48,428
2023-09-19 09:37:48,194
2023-09-19 09:37:48,428
2023-09-19 09:37:48,143
2023-09-19 09:37:48,194
2023-09-19 09:37:48,428
2023-09-19 09:37:48,428
2023-09-19 09:37:48,194
2023-09-19 09:37:48,144
2023-09-19 09:37:48,428
2023-09-19 09:37:48,194
2023-09-19 09:37:48,428
2023-09-19 09:37:48,428
2023-09-19 09:37:48,194
2023-09-19 09:37:48,428
2023-09-19 09:37:48,428
2023-09-19 09:37:48,428
2023-09-19 09:37:48,341
2023-09-19 09:37:48,342
2023-09-19 09:37:48,342
2023-09-19 09:37:48,341
2023-09-19 09:37:48,342
2023-09-19 09:37:48,342
2023-09-19 09:37:48,341
2023-09-19 09:37:48,341
2023-09-19 09:37:48,341
2023-09-19 09:37:48,341
2023-09-19 09:37:48,143
2023-09-19 09:37:48,144
2023-09-19 09:37:48,143
2023-09-19 09:37:48,428
2023-09-19 09:37:48,143
2023-09-19 09:37:48,194
2023-09-19 09:37:48,144
2023-09-19 09:37:48,144
2023-09-19 09:37:48,143
2023-09-19 09:37:48,143
2023-09-19 09:37:48,144
2023-09-19 09:37:48,143
2023-09-19 09:37:48,144
2023-09-19 09:37:48,144
2023-09-19 09:37:48,143
2023-09-19 09:37:48,144
2023-09-19 09:38:20,198
2023-09-19 09:38:20,197
2023-09-19 09:38:20,200
2023-09-19 09:38:20,201
2023-09-19 09:38:20,197
2023-09-19 09:38:20,197
2023-09-19 09:38:20,204
2023-09-19 09:38:20,143
2023-09-19 09:38:20,143
2023-09-19 09:38:20,145
2023-09-19 09:38:20,145
2023-09-19 09:38:20,144
2023-09-19 09:38:20,143
2023-09-19 09:38:20,143
2023-09-19 09:38:20,143
2023-09-19 09:38:20,144
2023-09-19 09:38:20,144
2023-09-19 09:38:20,143
2023-09-19 09:38:20,143
2023-09-19 09:38:20,143
2023-09-19 09:38:20,143
2023-09-19 09:38:20,145
2023-09-19 09:38:20,143
2023-09-19 09:38:20,205
2023-09-19 09:38:20,143
2023-09-19 09:38:20,203
2023-09-19 09:38:20,203
2023-09-19 09:38:20,172
2023-09-19 09:38:20,172
2023-09-19 09:38:20,204
2023-09-19 09:38:20,205
2023-09-19 09:38:20,204
2023-09-19 09:38:20,143
2023-09-19 09:38:20,203
2023-09-19 09:38:20,205
2023-09-19 09:38:21,200
2023-09-19 09:38:21,198
2023-09-19 09:38:22,201
2023-09-19 09:38:25,146
2023-09-19 09:38:25,146
2023-09-19 09:38:26,146
2023-09-19 09:38:31,196
2023-09-19 09:43:35,257
2023-09-19 09:43:35,274
2023-09-19 09:44:06,209
2023-09-19 09:44:10,211
2023-09-19 09:44:10,220
2023-09-19 09:44:10,124
2023-09-19 09:44:10,125
2023-09-19 09:44:10,126
2023-09-19 09:51:00,386
2023-09-19 09:51:00,385
2023-09-19 09:51:00,311
